Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
STK          STK_Q100        0.0        SOP    3437.47      174.9      196.0        161        391
STK          STK_Q100        0.0     pMCSKY    3494.70      134.1      156.0        161        391
STK          STK_Q100        0.0       OURS      24.10        4.6        9.0        161        391
STK          STK_Q100        0.4        SOP   13835.48      179.2      206.0         87        278
STK          STK_Q100        0.4     pMCSKY   13446.92      120.9      162.0         87        278
STK          STK_Q100        0.4       OURS      24.00        4.0       10.0         87        278
STK          STK_Q100        0.8        SOP   13868.68      179.7      206.0         87        271
STK          STK_Q100        0.8     pMCSKY   13600.77      121.6      154.0         87        271
STK          STK_Q100        0.8       OURS      25.48        4.0        9.0         87        271
STK          STK_Q100        1.0        SOP   13839.48      179.4      208.0         87        275
STK          STK_Q100        1.0     pMCSKY   13498.20      121.6      164.0         87        275
STK          STK_Q100        1.0       OURS      22.67        4.0       10.0         87        275
STK          STK_Q100        0.0        SOP    3593.79      173.9      196.0         79        272
STK          STK_Q100        0.0     pMCSKY    3423.56      133.0      155.0         79        272
STK          STK_Q100        0.0       OURS      27.24        4.0        9.0         79        272
STK          STK_Q100        0.4        SOP   13808.40      179.3      205.0         95        287
STK          STK_Q100        0.4     pMCSKY   13449.52      121.1      162.0         95        287
STK          STK_Q100        0.4       OURS      26.04        4.0       10.0         95        287
STK          STK_Q100        0.8        SOP   12988.93      180.2      206.0         91        292
STK          STK_Q100        0.8     pMCSKY   12715.09      122.4      150.0         91        292
STK          STK_Q100        0.8       OURS      25.37        4.0       10.0         91        292
STK          STK_Q100        1.0        SOP   12767.38      180.2      205.0         80        271
STK          STK_Q100        1.0     pMCSKY   12579.67      121.9      148.0         80        271
STK          STK_Q100        1.0       OURS      24.71        4.0       10.0         80        271
STK          STK_Q100        0.0        SOP    3239.51      175.3      198.0        134        360
STK          STK_Q100        0.0     pMCSKY    3079.09      134.3      157.0        134        360
STK          STK_Q100        0.0       OURS      23.06        4.0        9.0        134        360
STK          STK_Q100        0.4        SOP   12683.78      179.3      205.0         76        254
STK          STK_Q100        0.4     pMCSKY   12464.13      120.8      148.0         76        254
STK          STK_Q100        0.4       OURS      21.91        4.0       10.0         76        254
STK          STK_Q100        0.8        SOP   12519.45      179.0      207.0         82        265
STK          STK_Q100        0.8     pMCSKY   12382.22      120.9      150.0         82        265
STK          STK_Q100        0.8       OURS      23.49        4.0        9.0         82        265
STK          STK_Q100        1.0        SOP   12704.85      179.4      206.0         90        288
STK          STK_Q100        1.0     pMCSKY   12549.29      121.4      164.0         90        288
STK          STK_Q100        1.0       OURS      24.83        4.0       10.0         90        288
STK          STK_Q100        0.0        SOP    3119.06      170.2      191.0         59        257
STK          STK_Q100        0.0     pMCSKY    2951.63      128.7      149.0         59        257
STK          STK_Q100        0.0       OURS      21.52        4.0        9.0         59        257
STK          STK_Q100        0.4        SOP   12703.42      179.8      476.0         91        282
STK          STK_Q100        0.4     pMCSKY   12526.51      121.3      155.0         91        282
STK          STK_Q100        0.4       OURS      23.03        4.0       14.0         91        282
STK          STK_Q100        0.8        SOP   12763.02      180.2      211.0         84        282
STK          STK_Q100        0.8     pMCSKY   12650.10      122.2      154.0         84        282
STK          STK_Q100        0.8       OURS      25.84        4.0       14.0         84        282
STK          STK_Q100        1.0        SOP   12766.90      179.5      211.0         89        292
STK          STK_Q100        1.0     pMCSKY   12585.71      121.3      155.0         89        292
STK          STK_Q100        1.0       OURS      25.97        4.0       15.0         89        292
STK          STK_Q100        0.0        SOP    3044.15      174.4      200.0         53        184
STK          STK_Q100        0.0     pMCSKY    2832.44      131.7      159.0         53        184
STK          STK_Q100        0.0       OURS      14.32        4.0       14.0         53        184
STK          STK_Q100        0.4        SOP   12758.05      179.4      211.0         92        296
STK          STK_Q100        0.4     pMCSKY   12527.38      121.7      154.0         92        296
STK          STK_Q100        0.4       OURS      25.23        4.0       14.0         92        296
STK          STK_Q100        0.8        SOP   12786.74      179.5      208.0         93        276
STK          STK_Q100        0.8     pMCSKY   12661.73      121.1      152.0         93        276
STK          STK_Q100        0.8       OURS      25.38        4.0       15.0         93        276
STK          STK_Q100        1.0        SOP   12956.64      179.9      211.0         97        289
STK          STK_Q100        1.0     pMCSKY   12709.95      122.1      154.0         97        289
STK          STK_Q100        1.0       OURS      25.65        4.0       15.0         97        289

TAO          TAO_Q100        0.0        SOP    4813.58      235.6      274.0        135        670
TAO          TAO_Q100        0.0     pMCSKY    4582.60      193.9      233.0        135        670
TAO          TAO_Q100        0.0       OURS     113.51        6.1       16.0        135        670
