Dataset      Queryset  ChgQRatio     Method       Time     AvgMem    PeakMem       #Out      #OutQ
---------------------------------------------------------------------------------------------------
STK            STK_Q1        0.2        SOP      41.83        8.0       17.0          7          7
STK            STK_Q1        0.2     pMCSKY      49.58        5.0       12.0          7          7
STK            STK_Q1        0.2       OURS       0.65        4.0        9.0          7          7
STK            STK_Q1        0.2        SOP      40.45        8.0       12.0          7          7
STK            STK_Q1        0.2     pMCSKY      50.00        5.0       10.0          7          7
STK            STK_Q1        0.2       OURS       0.72        4.0        9.0          7          7
STK            STK_Q1        0.2        SOP      40.22        8.0       12.0          7          7
STK            STK_Q1        0.2     pMCSKY      49.29        5.0       10.0          7          7
STK            STK_Q1        0.2       OURS       0.54        4.0        9.0          7          7
STK            STK_Q1        0.2        SOP      41.94        8.0       12.0          7          7
STK            STK_Q1        0.2     pMCSKY      50.03        5.0       10.0          7          7
STK            STK_Q1        0.2       OURS       0.47        4.0        9.0          7          7
STK            STK_Q1        0.2        SOP      40.90        8.0       12.0          7          7
STK            STK_Q1        0.2     pMCSKY      53.78        5.0       10.0          7          7
STK            STK_Q1        0.2       OURS       0.50        4.0        9.0          7          7
STK           STK_Q10        0.2        SOP    1418.34       83.3      119.0         15         22
STK           STK_Q10        0.2     pMCSKY    1489.88       57.3      112.0         15         22
STK           STK_Q10        0.2       OURS       3.94        3.8        9.0         15         22
STK           STK_Q10        0.2        SOP    1320.02       80.8      118.0         16         21
STK           STK_Q10        0.2     pMCSKY    1384.65       55.0      102.0         16         21
STK           STK_Q10        0.2       OURS       3.37        3.9        9.0         16         21
STK           STK_Q10        0.2        SOP    1402.71       86.3      112.0         14         22
STK           STK_Q10        0.2     pMCSKY    1632.51       59.7       98.0         14         22
STK           STK_Q10        0.2       OURS       3.75        4.0        9.0         14         22
STK           STK_Q10        0.2        SOP    1513.86       82.8      119.0         17         26
STK           STK_Q10        0.2     pMCSKY    1739.38       58.6      109.0         17         26
STK           STK_Q10        0.2       OURS       4.05        4.0        9.0         17         26
STK           STK_Q10        0.2        SOP    1409.15       84.1      119.0         15         24
STK           STK_Q10        0.2     pMCSKY    1495.49       55.8      108.0         15         24
STK           STK_Q10        0.2       OURS       3.07        3.9        9.0         15         24
STK          STK_Q100        0.2        SOP   14753.64      179.5      204.0         97        313
STK          STK_Q100        0.2     pMCSKY   13805.00      121.2      147.0         97        313
STK          STK_Q100        0.2       OURS      26.79        4.0       10.0         97        313
STK          STK_Q100        0.2        SOP   15118.99      180.8      207.0        105        312
STK          STK_Q100        0.2     pMCSKY   14492.76      123.0      152.0        105        312
STK          STK_Q100        0.2       OURS      26.96        4.0       10.0        105        312
STK          STK_Q100        0.2        SOP   14501.30      178.7      243.0         84        276
STK          STK_Q100        0.2     pMCSKY   13891.48      120.1      150.0         84        276
STK          STK_Q100        0.2       OURS      22.92        4.0        9.0         84        276
STK          STK_Q100        0.2        SOP   14769.77      180.1      208.0         75        268
STK          STK_Q100        0.2     pMCSKY   14065.44      122.1      152.0         75        268
STK          STK_Q100        0.2       OURS      25.70        4.0        9.0         75        268
STK          STK_Q100        0.2        SOP   14767.16      180.0      206.0        105        309
STK          STK_Q100        0.2     pMCSKY   14238.29      121.7      263.0        105        309
STK          STK_Q100        0.2       OURS      26.90        4.0       15.0        105        309
STK         STK_Q1000        0.2        SOP   76605.50      681.0      713.0        269       2825
STK         STK_Q1000        0.2     pMCSKY   74777.80      144.5      555.0        269       2825
STK         STK_Q1000        0.2       OURS     171.54        5.0       25.0        269       2825

GAS            GAS_Q1        0.2        SOP      46.01        8.4       18.0          0          0
GAS            GAS_Q1        0.2     pMCSKY      53.09        6.8       35.0          0          0
GAS            GAS_Q1        0.2       OURS      18.75        7.8       48.0          0          0
GAS            GAS_Q1        0.2        SOP      45.89        8.4       60.0          0          0
GAS            GAS_Q1        0.2     pMCSKY      52.82        6.9       45.0          0          0
GAS            GAS_Q1        0.2       OURS      18.75        7.9       47.0          0          0
GAS            GAS_Q1        0.2        SOP      47.19        8.1       52.0          0          0
GAS            GAS_Q1        0.2     pMCSKY      50.51        6.7       45.0          0          0
GAS            GAS_Q1        0.2       OURS      19.47        7.9       47.0          0          0
