Dataset	Queryset	ChgQRatio	Method	Time	AvgMem	PeakMem	#Out	#OutQ
FC	FC_Q1	0.0	NAIVE	142.75	6.0	45.0	4119	4119
FC	FC_Q1	0.0	SOP	113.70	11.9	90.0	4119	4119
FC	FC_Q1	0.0	pMCSKY	130.39	9.9	88.0	4119	4119
FC	FC_Q1	0.0	MDUAL-Q	15.99	20.0	98.0	4119	4119
FC	FC_Q1	0.0	MDUAL-D	29.47	20.0	97.0	4119	4119
FC	FC_Q1	0.0	MDUAL	28.77	21.7	97.0	4119	4119
FC	FC_Q1	0.1	NAIVE	160.28	6.0	83.0	4119	4119
FC	FC_Q1	0.1	SOP	111.11	12.0	89.0	4119	4119
FC	FC_Q1	0.1	pMCSKY	125.12	9.9	87.0	4119	4119
FC	FC_Q1	0.1	MDUAL-Q	14.59	20.0	97.0	4119	4119
FC	FC_Q1	0.1	MDUAL-D	31.24	20.0	94.0	4119	4119
FC	FC_Q1	0.1	MDUAL	30.83	20.0	97.0	4119	4119
FC	FC_Q10	0.0	NAIVE	14724.06	6.0	83.0	4157	4186
FC	FC_Q10	0.0	SOP	879.53	100.3	183.0	4157	4186
FC	FC_Q10	0.0	pMCSKY	860.19	95.7	179.0	4157	4186
FC	FC_Q10	0.0	MDUAL-Q	107.67	21.0	98.0	4157	4186
FC	FC_Q10	0.0	MDUAL-D	188.54	21.0	98.0	4157	4186
FC	FC_Q10	0.0	MDUAL	200.29	21.0	98.0	4157	4186
FC	FC_Q10	0.1	NAIVE	21248.89	6.0	82.0	5416	5991
FC	FC_Q10	0.1	SOP	1788.72	64.9	196.0	5416	5991
FC	FC_Q10	0.1	pMCSKY	1866.01	42.6	182.0	5416	5991
FC	FC_Q10	0.1	MDUAL-Q	110.83	21.0	97.0	5416	5991
FC	FC_Q10	0.1	MDUAL-D	177.07	16.1	98.0	5416	5991
FC	FC_Q10	0.1	MDUAL	164.14	16.9	105.0	5416	5991
FC	FC_Q100	0.0	NAIVE	92440.97	6.0	83.0	26017	36583
FC	FC_Q100	0.0	SOP	6906.65	235.7	327.0	26017	36583
FC	FC_Q100	0.0	pMCSKY	6488.66	195.2	286.0	26017	36583
FC	FC_Q100	0.0	MDUAL-Q	645.10	21.0	97.0	26017	36583
FC	FC_Q100	0.0	MDUAL-D	1919.78	21.0	97.0	26017	36583
FC	FC_Q100	0.0	MDUAL	1267.72	21.0	98.0	26017	36583
FC	FC_Q100	0.1	NAIVE	95029.51	6.0	83.0	63368	103743
FC	FC_Q100	0.1	SOP	47866.62	250.2	349.0	63368	103743
FC	FC_Q100	0.1	pMCSKY	46208.55	194.1	293.0	63368	103743
FC	FC_Q100	0.1	MDUAL-Q	991.16	21.0	98.0	63368	103743
FC	FC_Q100	0.1	MDUAL-D	3214.77	21.0	105.0	63368	103743
FC	FC_Q100	0.1	MDUAL	2023.02	21.0	106.0	63368	103743
FC	FC_Q1000	0.0	NAIVE	1136812.70	7.0	84.0	195532	1168647
FC	FC_Q1000	0.0	SOP	64297.80	775.9	869.0	195532	1168647
FC	FC_Q1000	0.0	pMCSKY	53730.08	258.9	352.0	195532	1168647
FC	FC_Q1000	0.0	MDUAL-Q	4951.32	21.9	98.0	195532	1168647
FC	FC_Q1000	0.0	MDUAL-D	29122.92	22.0	99.0	195532	1168647
FC	FC_Q1000	0.0	MDUAL	9059.50	22.0	99.0	195532	1168647
FC	FC_Q1000	0.1	NAIVE	1054443.52	7.0	84.0	167182	858677
